"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"1","1741925715","356.4","356.2","2025-03-14 11:59:59","3.4282358","356","1741924799","0388.HK","M5"
"2","1741925715","527.5","527","2025-03-14 11:59:59","3.8423645","527","1741924799","0700.HK","M5"
"3","1741925715","85.8","85.75","2025-03-14 11:59:52","0.17513312","85.8","1741924792","0005.HK","M5"
"4","1741929312","356.2","356","2025-03-14 13:00:11","3.5444455","356.4","1741928411","0388.HK","M5"
"5","1741929312","527.5","527","2025-03-14 13:00:11","4.236453","529","1741928411","0700.HK","M5"
"6","1741929312","85.85","85.75","2025-03-14 13:00:11","0.17513312","85.8","1741928411","0005.HK","M5"
"7","1741929610","356.8","356.6","2025-03-14 13:05:07","3.6025548","356.6","1741928707","0388.HK","M5"
"8","1741929610","529","528.5","2025-03-14 13:05:06","4.137931","528.5","1741928706","0700.HK","M5"
"9","1741929610","85.65","85.6","2025-03-14 13:05:09","0","85.65","1741928709","0005.HK","M5"
"10","1741929910","355.4","355.2","2025-03-14 13:10:08","3.2539167","355.4","1741929008","0388.HK","M5"
"11","1741929910","526.5","526","2025-03-14 13:10:07","3.6453202","526","1741929007","0700.HK","M5"
"12","1741929910","85.65","85.6","2025-03-14 13:10:01","0","85.65","1741929001","0005.HK","M5"
"13","1741930212","354.2","354","2025-03-14 13:15:11","3.0214972","354.6","1741929311","0388.HK","M5"
"14","1741930212","525","524.5","2025-03-14 13:15:07","3.4482758","525","1741929307","0700.HK","M5"
"15","1741930212","85.6","85.55","2025-03-14 13:15:00","-0.116752446","85.55","1741929300","0005.HK","M5"
"16","1741930510","354.6","354.4","2025-03-14 13:20:04","3.0214972","354.6","1741929604","0388.HK","M5"
"17","1741930510","526.5","526","2025-03-14 13:20:08","3.6453202","526","1741929608","0700.HK","M5"
"18","1741930510","85.6","85.55","2025-03-14 13:20:00","-0.05838068","85.6","1741929600","0005.HK","M5"
"19","1741930810","353","352.6","2025-03-14 13:25:08","2.4404397","352.6","1741929908","0388.HK","M5"
"20","1741930810","523.5","522.5","2025-03-14 13:25:08","2.955665","522.5","1741929908","0700.HK","M5"
